Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.34      5.28     0.03  1145595     0.00     0.00  int* std::uninitialized_copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.34      5.30     0.03   765318     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  0.34      5.33     0.03   765318     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  0.34      5.37     0.03   487509     0.00     0.00  std::_Vector_base<Action, std::allocator<Action> >::_Vector_impl::_Vector_impl()
  0.34      5.39     0.03   487509     0.00     0.00  std::enable_if<std::__is_bitwise_relocatable<Action, void>::value, Action*>::type std::__relocate_a_1<Action, Action>(Action*, Action*, Action*, std::allocator<Action>&)
  0.34      5.42     0.03   447989     0.00     0.00  getNewState(GameState&, Action, bool)
  0.34      5.46     0.03   208289     0.00     0.00  void std::_Construct<Player, Player const&>(Player*, Player const&)
  0.34      5.49     0.03   206424     0.00     0.00  std::vector<Bomb, std::allocator<Bomb> >::begin()
  0.34      5.51     0.03   104146     0.00     0.00  std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > >::vector(std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > const&)
  0.34      5.54     0.03   104144     0.00     0.00  std::allocator_traits<std::allocator<Bomb> >::select_on_container_copy_construction(std::allocator<Bomb> const&)
  0.34      5.58     0.03   104144     0.00     0.00  Bomb* std::__uninitialized_copy<false>::__uninit_copy<__gnu_cxx::__normal_iterator<Bomb const*, std::vector<Bomb, std::allocator<Bomb> > >, Bomb*>(__gnu_cxx::__normal_iterator<Bomb const*, std::vector<Bomb, std::allocator<Bomb> > >, __gnu_cxx::__normal_iterator<Bomb const*, std::vector<Bomb, std::allocator<Bomb> > >, Bomb*)
  0.34      5.61     0.03    76380     0.00     0.00  std::optional<int>::has_value() const
  0.34      5.63     0.03    74040     0.00     0.00  __gnu_cxx::__normal_iterator<Bomb*, std::vector<Bomb, std::allocator<Bomb> > >::operator*() const
  0.34      5.67     0.03    74040     0.00     0.00  std::_Optional_base<int, true, true>::_Optional_base<int&, false>(std::in_place_t, int&)
  0.34      5.70     0.03    69577     0.00     0.00  void std::_Destroy<Player*>(Player*, Player*)
  0.34      5.72     0.03    69575     0.00     0.00  std::vector<Player, std::allocator<Player> >::~vector()
  0.34      5.75     0.03    40551     0.00     0.00  __gnu_cxx::__normal_iterator<Bomb*, std::vector<Bomb, std::allocator<Bomb> > > std::__copy_move_a<true, __gnu_cxx::__normal_iterator<Bomb*, std::vector<Bomb, std::allocator<Bomb> > >, __gnu_cxx::__normal_iterator<Bomb*, std::vector<Bomb, std::allocator<Bomb> > > >(__gnu_cxx::__normal_iterator<Bomb*, std::vector<Bomb, std::allocator<Bomb> > >, __gnu_cxx::__normal_iterator<Bomb*, std::vector<Bomb, std::allocator<Bomb> > >, __gnu_cxx::__normal_iterator<Bomb*, std::vector<Bomb, std::allocator<Bomb> > >)
  0.34      5.79     0.03     8417     0.00     0.00  HUD::draw(sf::RenderWindow&, Game&)
  0.34      5.82     0.03     8417     0.00     0.00  Game::render()
  0.29      5.84     0.03  1145606     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl_data::_Vector_impl_data()
  0.29      5.87     0.03  1145595     0.00     0.00  std::vector<int, std::allocator<int> >::end() const
  0.29      5.89     0.03  1145595     0.00     0.00  std::vector<int, std::allocator<int> >::begin() const
  0.23      5.91     0.02  5428614     0.00     0.00  Action&& std::forward<Action>(std::remove_reference<Action>::type&)
  0.23      5.93     0.02  5012253     0.00     0.00  operator new(unsigned long, void*)
  0.23      5.95     0.02  3952156     0.00     0.00  __gnu_cxx::__normal_iterator<Action*, std::vector<Action, std::allocator<Action> > >::__normal_iterator(Action* const&)
  0.23      5.97     0.02  3370088     0.00     0.00  Player::getY() const
  0.23      5.99     0.02  2499456     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >::base() const
  0.23      6.01     0.02  2291190     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::__normal_iterator(int const* const&)
  0.23      6.03     0.02  2291190     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > std::__miter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.23      6.05     0.02  1996382     0.00     0.00  __gnu_cxx::__normal_iterator<Player*, std::vector<Player, std::allocator<Player> > >::operator*() const
  0.23      6.07     0.02  1809538     0.00     0.00  void __gnu_cxx::new_allocator<Action>::construct<Action, Action>(Action*, Action&&)
  0.23      6.09     0.02  1809538     0.00     0.00  std::vector<Action, std::allocator<Action> >::push_back(Action&&)
  0.23      6.11     0.02  1249729     0.00     0.00  bool __gnu_cxx::operator!=<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >(__gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > > const&, __gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > > const&)
  0.23      6.13     0.02  1249728     0.00     0.00  bool __gnu_cxx::operator!=<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >(__gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > > const&, __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > > const&)
  0.23      6.15     0.02  1145595     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl(std::allocator<int> const&)
  0.23      6.17     0.02  1145595     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_create_storage(unsigned long)
  0.23      6.19     0.02  1145595     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base(unsigned long, std::allocator<int> const&)
  0.23      6.21     0.02  1145587     0.00     0.00  void std::_Construct<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.23      6.23     0.02  1001026     0.00     0.00  std::vector<Player, std::allocator<Player> >::begin()
  0.23      6.25     0.02   765318     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  0.23      6.27     0.02   698220     0.00     0.00  fast_log::log(float) const
  0.23      6.29     0.02   660139     0.00     0.00  isTerminal(GameState const&, int)
  0.23      6.31     0.02   606000     0.00     0.00  __gnu_cxx::__normal_iterator<Bomb*, std::vector<Bomb, std::allocator<Bomb> > >::base() const
  0.23      6.33     0.02   529144     0.00     0.00  void std::_Destroy<Action*>(Action*, Action*)
  0.23      6.35     0.02   496488     0.00     0.00  Player::isAlive() const
  0.23      6.37     0.02   487509     0.00     0.00  std::_Vector_base<Action, std::allocator<Action> >::_Vector_impl::~_Vector_impl()
  0.23      6.39     0.02   487509     0.00     0.00  std::_Vector_base<Action, std::allocator<Action> >::~_Vector_base()
  0.23      6.41     0.02   487509     0.00     0.00  std::allocator_traits<std::allocator<Action> >::allocate(std::allocator<Action>&, unsigned long)
  0.23      6.43     0.02   487509     0.00     0.00  std::vector<Action, std::allocator<Action> >::_S_relocate(Action*, Action*, Action*, std::allocator<Action>&)
  0.23      6.45     0.02   487509     0.00     0.00  Action* std::__relocate_a<Action*, Action*, std::allocator<Action> >(Action*, Action*, Action*, std::allocator<Action>&)
  0.23      6.47     0.02   465076     0.00     0.00  Level::isBonus(int, int)
  0.23      6.49     0.02   425840     0.00     0.00  sf::Sprite::~Sprite()
  0.23      6.51     0.02   390467     0.00     0.00  sf::Drawable::Drawable(sf::Drawable const&)
  0.23      6.53     0.02   290191     0.00     0.00  Bomb::getTimeLeft() const
  0.23      6.55     0.02   238635     0.00     0.00  Player::move(int, int)
  0.23      6.57     0.02   232507     0.00     0.00  Bomb::~Bomb()
  0.23      6.59     0.02   226416     0.00     0.00  Bomb::update()
  0.23      6.61     0.02   208292     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<int, int> const*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > >::__normal_iterator(std::pair<int, int> const* const&)
  0.23      6.63     0.02   145956     0.00     0.00  void std::_Destroy<std::pair<int, int>*, std::pair<int, int> >(std::pair<int, int>*, std::pair<int, int>*, std::allocator<std::pair<int, int> >&)
  0.23      6.65     0.02   123238     0.00     0.00  void std::_Destroy<Bomb*, Bomb>(Bomb*, Bomb*, std::allocator<Bomb>&)
  0.23      6.67     0.02   108136     0.00     0.00  void std::_Construct<Bomb, Bomb const&>(Bomb*, Bomb const&)
  0.23      6.69     0.02   104151     0.00     0.00  std::_Vector_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_allocate(unsigned long)
  0.23      6.71     0.02   104150     0.00     0.00  std::_Vector_base<Bomb, std::allocator<Bomb> >::_Vector_impl_data::_Vector_impl_data()
  0.23      6.73     0.02   104146     0.00     0.00  __gnu_cxx::new_allocator<Player>::allocate(unsigned long, void const*)
  0.23      6.75     0.02   104145     0.00     0.00  Level::Level(Level const&)
  0.23      6.77     0.02   104145     0.00     0.00  std::_Vector_base<Bomb, std::allocator<Bomb> >::_Vector_impl::_Vector_impl(std::allocator<Bomb> const&)
  0.23      6.79     0.02   104145     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >* std::__uninitialized_copy<false>::__uninit_copy<__gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*>(__gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >, __gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
  0.23      6.81     0.02   104145     0.00     0.00  std::vector<Player, std::allocator<Player> >::vector(std::vector<Player, std::allocator<Player> > const&)
  0.23      6.83     0.02   104144     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<Bomb>, Bomb>::_S_select_on_copy(std::allocator<Bomb> const&)
  0.23      6.85     0.02    76384     0.00     0.00  __gnu_cxx::new_allocator<std::pair<int, int> >::max_size() const
  0.23      6.87     0.02    76384     0.00     0.00  std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > >::_S_relocate(std::pair<int, int>*, std::pair<int, int>*, std::pair<int, int>*, std::allocator<std::pair<int, int> >&)
  0.23      6.89     0.02    76380     0.00     0.00  std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > >::reserve(unsigned long)
  0.23      6.91     0.02    74042     0.00     0.00  sf::Sprite::Sprite(sf::Sprite&&)
  0.23      6.93     0.02    74040     0.00     0.00  Player::dropBomb()
  0.23      6.95     0.02    74040     0.00     0.00  void __gnu_cxx::new_allocator<Bomb>::construct<Bomb, Bomb>(Bomb*, Bomb&&)
  0.23      6.97     0.02    74040     0.00     0.00  void std::allocator_traits<std::allocator<Bomb> >::construct<Bomb, Bomb>(std::allocator<Bomb>&, Bomb*, Bomb&&)
  0.23      6.99     0.02    69575     0.00     0.00  std::_Vector_base<Bomb, std::allocator<Bomb> >::_Vector_impl::~_Vector_impl()
  0.23      7.01     0.02    69575     0.00     0.00  std::_Vector_base<Player, std::allocator<Player> >::~_Vector_base()
  0.23      7.03     0.02    69575     0.00     0.00  std::_Vector_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::~_Vector_base()
  0.23      7.05     0.02    69575     0.00     0.00  void std::_Destroy<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >&)
  0.23      7.07     0.02    69574     0.00     0.00  Level::~Level()
  0.23      7.09     0.02    69574     0.00     0.00  void std::_Destroy_aux<false>::__destroy<std::vector<int, std::allocator<int> >*>(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*)
  0.23      7.11     0.02    69574     0.00     0.00  std::_Vector_base<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_Vector_impl::~_Vector_impl()
  0.23      7.13     0.02    62608     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char const*>(char const*, char const*, std::forward_iterator_tag)
  0.23      7.15     0.02    48191     0.00     0.00  sf::Sprite::operator=(sf::Sprite&&)
  0.23      7.17     0.02    48191     0.00     0.00  Bomb::operator=(Bomb&&)
  0.23      7.19     0.02    34571     0.00     0.00  expand(Node*)
  0.17      7.21     0.01  2291205     0.00     0.00  std::allocator<int>::allocator(std::allocator<int> const&)
  0.17      7.22     0.01  1911023     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.17      7.24     0.01   326488     0.00     0.00  std::_Vector_base<std::pair<int, int>, std::allocator<std::pair<int, int> > >::_M_get_Tp_allocator()
  0.17      7.25     0.01   180531     0.00     0.00  std::_Vector_base<std::pair<int, int>, std::allocator<std::pair<int, int> > >::_M_get_Tp_allocator() const
  0.17      7.26     0.01    62608     0.00     0.00  std::char_traits<char>::length(char const*)
  0.17      7.28     0.01    53663     0.00     0.00  std::vector<Bomb, std::allocator<Bomb> >::_M_check_len(unsigned long, char const*) const
  0.11      7.29     0.01  5971686     0.00     0.00  __gnu_cxx::__normal_iterator<Player*, std::vector<Player, std::allocator<Player> > >::base() const
  0.11      7.30     0.01  2995624     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::size() const
  0.11      7.31     0.01  2499458     0.00     0.00  __gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::base() const
  0.11      7.32     0.01  1910921     0.00     0.00  std::vector<int, std::allocator<int> >* std::__addressof<std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >&)
